"title","obis","records","totalrecords","fraction","taxa","org_title","org_country","installation_title","node_title"
"Distribution of planktic foraminifers and SST of sediment core GIK15637-1",,11495,11968,0.96,28,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Collection Ichthyologie - SNSD",,11482,24123,0.48,1078,"Senckenberg","DE","BioCASe Installation Senckenberg","GBIF Germany"
"Florabank1 - A grid-based database on vascular plant  distribution in the northern part of Belgium (Flanders and the Brussels Capital region)",,11482,3514715,0.00,25,"Research Institute for Nature and Forest (INBO)","BE","INBO IPT","Belgium Biodiversity Information Facility"
"Natural England - Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by English Nature",,11423,11433,1.00,1009,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"iziko South African Museum - Shark Collection (AfrOBIS)",t,11393,11393,1.00,486,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Algae (S)",,11391,13132,0.87,1295,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"UMZC Zoological Specimens",,11277,49455,0.23,4015,"University Museum of Zoology Cambridge","GB","IPT - Hosted by VertNet","National Biodiversity Network"
"Fungi (S)",,11268,300778,0.04,1166,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"Conchological Society of Great Britain &amp; Ireland - Mollusc (non-marine) data for Great Britain and Ireland",,11194,153805,0.07,24,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"MVZ Bird Collection (Arctos)",,11102,177680,0.06,334,"Museum of Vertebrate Zoology","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"UAM Bird Collection (Arctos)",,11048,27972,0.39,249,"University of Alaska Museum of the North","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Distribution of planktic foraminifers of core V22-174",,11020,11049,1.00,21,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"VegetWeb - Repositorium von Vegetationsaufnahmen a",,10883,728984,0.01,7,"Bundesamt für Naturschutz / Netzwerk Phytodiversität Deutschland","DE","BioCASe Installation Bundesamt für Naturschutz / Netzwerk Phytodiversität Deutschland","GBIF Germany"
"CAS Ornithology (ORN)",,10741,96787,0.11,324,"California Academy of Sciences","US","CAS-IPT","U.S. Geological Survey"
"Oregon State Ichthyology Collection",,10733,17814,0.60,1782,"Oregon State University","US","Oregon State University IPT","U.S. Geological Survey"
"Distribution of foraminifera of sediment core GIK23258-2",,10720,10720,1.00,8,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"UAM Invertebrate Collection (Arctos)",,10698,10866,0.98,1700,"University of Alaska Museum of the North","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Molluscan specimen database of Kanagawa Prefectural Museum of Natural History",,10634,13660,0.78,2526,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"CNPE/Coleccion Nacional de Peces",,10608,13210,0.80,1138,"UNIBIO, IBUNAM","MX","DiGIR Installation","Biodiversity Information System of Mexico"
"Occurrences des observations de la campagne Suivi Aérien de la Mégafaune Marine en France métropolitaine (SAMM1 - Hiver 2011/2012)",,10395,10402,1.00,39,"Observatoire PELAGIS, UMS 3462 Système d'Observation pour la Conservation des Mammifères et Oiseaux Marins, Université de la Rochelle-CNRS","FR","IPT GBIF France","GBIF France"
"Collection Vermes - ZMB",,10347,15563,0.66,2781,"Senckenberg","DE","BioCASe Installation Senckenberg","GBIF Germany"
"Aranzadi Ringing Scheme (bird ring-recovery data)",,10327,302298,0.03,51,"Aranzadi Science Society","ES","GBIF Spain IPT","GBIF Spain"
"Collection Mollusca SMF",,10279,28808,0.36,1502,"Senckenberg","DE","BioCASe Installation Senckenberg","GBIF Germany"
"Distribution of benthic foraminifers, living, dead, and total assemblage counts, and faunal diversity in sediment samples collected between 1995 and 2010 in the San Francisco Bay coastal system",,10185,10185,1.00,35,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Planktic foraminifera (%) of sediment core MD97-2151",,10182,10591,0.96,20,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Planktic foraminifera counts of sediment core MD95-2040",,10147,10183,1.00,22,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Inventaire National du Patrimoine Naturel : Oiseaux nicheurs de France",,10003,205653,0.05,59,"SPN - Service du Patrimoine naturel, Muséum national d'Histoire naturelle, Paris","FR","HTTP Installation","GBIF France"
"Wikander",,9914,9981,0.99,293,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"Shellfish specimens in the NISHINOMIYA SHELL MUSEUM, Japan.",,9827,12007,0.82,3394,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Planktic foraminifera distribution on sediment core GIK17957-2",,9798,9798,1.00,20,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Records of Avifauna of Wetlands around Keoladeo National Park, Bharatpur, India",,9736,31936,0.30,21,"Wildlife Institute of India","IN","Wildlife Institute of India","GBIF India"
"Marine Invertebrata specimen database of Osaka Museum of Natutal History",,9710,10727,0.91,1655,"National Institute of Genetics, ROIS","JP","National Institute of Genetics, ROIS","GBIF Japan"
"NCOS1959_Mollusca (OBIS China)",t,9703,10055,0.96,536,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Planktic foraminifera counts (census) of sediment core MD96-2084",,9680,10271,0.94,16,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 1) Distribution of benthic and planktonic foraminifers at DSDP Hole 28-270",,9654,9907,0.97,83,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"FlorKart - FlorenKartierung Gefaesspflanzen",,9654,3745238,0.00,24,"Bundesamt für Naturschutz / Netzwerk Phytodiversität Deutschland","DE","BioCASe Installation Bundesamt für Naturschutz / Netzwerk Phytodiversität Deutschland","GBIF Germany"
"Especímenes INBio",,9640,1082235,0.01,1054,"Instituto Nacional de Biodiversidad (INBio), Costa Rica","CR","IABIN - Species and Specimen Thematic Network","Costa Rica Biodiversity Facility"
"Fish (NSMK-PI)",,9583,105886,0.09,86,"National Science Museum of Korea","KR","KBIF IPT","Korean Biodiversity Information Facility"
"Banc de dades de biodiversitat de Catalunya-VerteCat",,9559,173602,0.06,146,"Banc de dades de biodiversitat de Catalunya","ES","BioCASe Installation Banc de dades de biodiversitat de Catalunya","GBIF Spain"
"Modern planktic foraminifera assemblage from surface sediment samples used as reference data set for the reconstruction of Atlantic sea surface temperatures during the last glacial maximum (LGM)",,9546,9558,1.00,19,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Biological and palaeontological collection and observation data MNHNL",,9531,858924,0.01,803,"Musée national d'histoire naturelle Luxembourg","LU","BioCASe Installation Musée national d'histoire naturelle Luxembourg","GBIF Luxembourg"
"Museo Nacional de Ciencias Naturales, Madrid: Invertebrados Poliquetos",,9517,9706,0.98,920,"Spanish National Museum of Natural Sciences (CSIC)","ES","TAPIR Installation","GBIF Spain"
"Shellfish (NSMK-MS)",,9505,9699,0.98,73,"National Science Museum of Korea","KR","KBIF IPT","Korean Biodiversity Information Facility"
"Naturalis Biodiversity Center (NL) - Paleontology Invertebrates",,9462,22008,0.43,1752,"Naturalis Biodiversity Center","NL","Naturalis HTTP installation","Netherlands Biodiversity Information Facility"
"Distribution of planktic foraminifera at the last glacial maximum",,9422,9733,0.97,28,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"natagora-earlybirds",,9420,81329,0.12,22,"BeBIF Provider","BE","Belgian BIF IPT","Belgium Biodiversity Information Facility"
"Zoological Museum Amsterdam, University of Amsterdam (NL) – Mollusca_Netherlands",,9412,21161,0.44,364,"Naturalis Biodiversity Center","NL","TAPIR Installation","Netherlands Biodiversity Information Facility"
"RSPB - White-tailed eagle reintroduction in Scotland - Sightings data (RSPB/SNH)",,9396,9396,1.00,1,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Mycology herbarium, Oslo (O)",,9291,174399,0.05,474,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"APIS - Antarctic Pack Ice Seals 1994-1999, plus historical data from the 1980's",,9271,9271,1.00,11,"Australian Antarctic Data Centre","AU","AADC IPT","Atlas of Living Australia"
"International Fossil Shell Museum (NL) - Mollusca Collection",,9245,14597,0.63,3492,"International Fossil Shell Museum","NL","NLBIF IPT","Netherlands Biodiversity Information Facility"
"Weddell Seal census, Vestfold Hills, Antarctica",,9206,9206,1.00,2,"Australian Antarctic Data Centre","AU","AADC IPT","Atlas of Living Australia"
"Marsh Monitoring Program - Birds",,9191,73544,0.12,41,"Bird Studies Canada","CA","Bird Studies Canada","Canada Biodiversity Information Facility"
"Free-living marine Nematodes from San Julián bay (Santa Cruz, Argentine), 2009.",,9161,9161,1.00,71,"Centro Nacional Patagonico - CONICET","AR","IPT CENPAT-CONICET","GBIF Argentina"
"RSPB - Wader survey on Uist in 2007 (RSPB/BTO)",,9131,9543,0.96,5,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Distribution of planktic foraminifers of core V30-40",,9130,9130,1.00,22,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Royal Botanic Garden Edinburgh Herbarium (E)",,9118,617771,0.01,877,"Royal Botanic Garden Edinburgh","GB","HTTP Installation RBGE","National Biodiversity Network"
"Cumbria Biodiversity Data Centre - Norman and Florence Hammond records.  Seawatch and coastal survey records.",,8987,8988,1.00,566,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"City of Amsterdam (NL) - Fyke Fishing Piet Ruiter",,8831,8928,0.99,50,"City of Amsterdam","NL","NLBIF IPT","Netherlands Biodiversity Information Facility"
"Marine Biological Association - Marine Life Survey Data (collected by volunteers) collated by <i>MarLIN</i>",,8818,8831,1.00,433,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Natural History Museum Rotterdam (NL) - Chordata collection",,8805,16728,0.53,481,"Natural History Museum Rotterdam","NL","NLBIF IPT","Netherlands Biodiversity Information Facility"
"Inventaire National du Patrimoine Naturel : Données Benthos du Réseau des Stations et Observatoires Marins",,8760,8760,1.00,157,"SPN - Service du Patrimoine naturel, Muséum national d'Histoire naturelle, Paris","FR","HTTP Installation","GBIF France"
"Fish Collection of Natural History Museum and Institute, Chiba",,8704,10114,0.86,1342,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"NPL collections",,8670,20171,0.43,3291,"The Non-vertebrate Paleontology Laboratory at The University of Texas at Austin","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Colección Nacional de Foraminíferos - Museo Argentino de Ciencias Naturales 'Bernardino Rivadavia'",,8668,9147,0.95,1566,"Museo Argentino de Ciencias Naturales","AR","TAPIR Installation","GBIF Argentina"
"Sistema de Información de la vegetación Ibérica y Macaronésica",,8652,1663793,0.01,22,"GBIF-Spain","ES","HTTP Installation","GBIF Spain"
"Marine and Coastal Management - Demersal Surveys (years 2006-) (AfrOBIS)",t,8615,8615,1.00,235,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"(Appendix A) Abundances of planktonic foraminifera in mid-Pleistocene sediments of ODP Site 184-1144 in the South China Sea",,8550,9027,0.95,24,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"UAM Fish Collection (Arctos)",,8537,8922,0.96,474,"University of Alaska Museum of the North","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Fish collection, Natural History Museum, University of Oslo",,8517,9185,0.93,1490,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"Benthic foraminifera abundance in counts of Hole PRAD1-2",,8516,8635,0.99,122,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Polycystine Radiolarians from the water column and the surface sediments of the World Ocean (OBIS South America, SOUTHERN OCEAN SUB-NODE)",t,8499,8739,0.97,213,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Distribution of planktonic foraminifera in sediment core MD01-2443",,8443,8443,1.00,25,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Atlas Nacional de Anélidos Poliquetos de México (ICMyL-DF, UNAM)",,8401,8407,1.00,640,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","REMIB_ICMyL-DF","Biodiversity Information System of Mexico"
"Ophiuroidea collections of the Zoological Institute Russian Academy of Sciences",,8377,8377,1.00,187,"Zoological Institute, Russian Academy of Sciences, St. Petersburg","RU","ZIN RAS & BIN RAS IPT","Society for the Management of Electronic Biodiversity Data (SMEBD)"
"Floristic Databases of Mecklenburg-Pomerania - Higher Plants",,8366,615763,0.01,23,"Ernst-Moritz-Arndt-Universitaet","DE","BioCASe Installation at Institute of Botany and Landscape Ecology,  Ernst Moritz Arndt University of Greifswald","GBIF Germany"
"Freshwater Fish Specimens of Lake Biwa Museum",,8335,27098,0.31,239,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Joint Nature Conservation Committee - Scotland Otter Survey Database",,8332,8332,1.00,1,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Distribution of planktic foraminifers of core RC24-16",,8324,8324,1.00,22,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Colección Nacional de Equinodermos Mexicanos (ICMyL-DF, UNAM)",,8312,8320,1.00,671,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","REMIB_ICMyL-DF","Biodiversity Information System of Mexico"
"ArtenFinder",,8295,180310,0.05,102,"POLLICHIA – Verein für Naturforschung und Landespflege e.V.","DE","BioCASe Installation Museum für Naturkunde Berlin","GBIF Germany"
"Vertebrate Zoology Division - Ornithology, Yale Peabody Museum",,8268,141723,0.06,448,"Yale University Peabody Museum","US","Yale Peabody Museum IPT Service","U.S. Geological Survey"
"(Table 5) Percentages of planktonic foraminiferal taxa from the 161 surface-sediment samples from the South China Sea and the western Pacific",,8241,8705,0.95,26,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Tunicates collection (IT) of the Muséum national d'Histoire naturelle (MNHN - Paris)",,8176,8182,1.00,1542,"MNHN - Museum national d'Histoire naturelle","FR","MNHN - Collections","GBIF France"
"National Taiwan University",,8140,8549,0.95,1566,"TELDAP","TW","TAPIR Installation","Taiwan Biodiversity Information Facility"
"UK Cetacean Strandings Investigation Programme - Stranded cetacean data from Great Britain collected from 01/01/89 through to 31/03/10",,8140,8140,1.00,20,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Bolus Herbarium Algal Specimen Database (AfrOBIS)",t,8107,8112,1.00,538,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"N3 data of Kiel bay (EurOBIS)",t,8101,8202,0.99,137,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Scottish Wildlife Trust - Commissioned surveys and staff surveys and reports for SWT reserves. ",,8046,80181,0.10,204,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"KU Museum of Invertebrate Paleontology",,7989,21735,0.37,236,"University of Kansas Biodiversity Institute","US","KU Biodiversity Institute IPT","U.S. Geological Survey"
"KUBI Ichthyology Collection",,7939,39696,0.20,1679,"University of Kansas Biodiversity Institute","US","KU Biodiversity Institute IPT","U.S. Geological Survey"
"(Table T1) Miocene planktonic foraminiferal stratigraphy of ODP Hole 184-1148A",,7930,17690,0.45,13,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Crustacea Collection of Natural History Museum and Institute, Chiba",,7914,8221,0.96,2244,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Distribution of 15 major fish species in the North Sea between 1959 and 1979",,7910,7910,1.00,12,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"AIMS - LTM Nearshore Corals (OBIS Australia)",t,7894,7918,1.00,308,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Humber Environmental Data Centre - Humber Environmental Data Centre - Non Sensitive Records from all taxonomic groups",,7884,22609,0.35,112,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"The First Atlas of Breeding Birds in Britain and Ireland: 1968-1972.",,7853,63985,0.12,41,"National Biodiversity Data Centre","IE","HTTP Installation","National Biodiversity Data Centre"
"Crustacea specimens of Toyama Science Museum",,7822,14357,0.54,243,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Distribution of planktic foraminifera of sediment core M35003-4",,7758,8143,0.95,27,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Akita Prefectural Museum:Hiroki Watanabe Collection of mollusca",,7744,8999,0.86,1655,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Herbarium of The New York Botanical Garden",,7711,989751,0.01,1618,"The New York Botanical Garden","US","DiGIR Installation","U.S. Geological Survey"
"Limnodata",,7657,146908,0.05,56,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"Collection Cnidaria SMF",,7644,7687,0.99,1297,"Senckenberg","DE","BioCASe Installation Senckenberg","GBIF Germany"
"ORN",,7632,160768,0.05,434,"Academy of Natural Sciences","US","Academy of Natural Sciences","U.S. Geological Survey"
"PSM Vertebrates Collection",,7608,62737,0.12,291,"James R. Slater Museum of Natural History","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"KUBI Ornithology Collection",,7596,112493,0.07,349,"University of Kansas Biodiversity Institute","US","KU Biodiversity Institute IPT","U.S. Geological Survey"
"(Table 1) Distribution of planktonic foraminifera in ODP Site 130-806",,7590,14720,0.52,32,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Bird specimens",,7539,160905,0.05,347,"Louisiana State University Museum of Natural Science","US","DiGIR Installation","U.S. Geological Survey"
"Nationaal Herbarium Nederland",,7468,928489,0.01,1496,"Naturalis Biodiversity Center","NL","BioCASe Installation Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands","Netherlands Biodiversity Information Facility"
"Rådgivende Biologer",,7413,12195,0.61,545,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"Collection Bryozoa SMF",,7359,7572,0.97,882,"Senckenberg","DE","BioCASe Installation Senckenberg","GBIF Germany"
"All Ireland Non-Marine Molluscan Database",,7336,68725,0.11,26,"National Biodiversity Data Centre","IE","HTTP Installation","National Biodiversity Data Centre"
"Environment Agency - Environment Agency Non-native Species records v1",,7297,45199,0.16,23,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Western Palearctic migratory birds in continental Africa",,7269,25333,0.29,69,"Center for Macroecology, Evolution and Climate, University of Copenhagen","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"Wetland Inventory (NV)",,7223,517724,0.01,80,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"Crustacean specimen detabase of Kanagawa Prefectural Museum of Natural History",,7173,7465,0.96,642,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Southern Ocean octopus",,7140,7140,1.00,23,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"Snow Petrel census, Reeve Hill, Windmill Island, East Antarctica (1984-2003)",,7139,7139,1.00,1,"Australian Antarctic Data Centre","AU","DiGIR Installation","Atlas of Living Australia"
"Korea Bird Distribution Atlas Database",,7129,23417,0.30,84,"Korea Institute of Science and Technology Information","KR","Korea Institute of Science and Technology Information","Korean Biodiversity Information Facility"
"Whale catches in the Southern Ocean",,7122,7122,1.00,6,"Australian Antarctic Data Centre","AU","DiGIR Installation","Atlas of Living Australia"
"Zoological Museum Amsterdam, University of Amsterdam (NL) - Coelenterata",,7114,7209,0.99,1434,"Naturalis Biodiversity Center","NL","TAPIR Installation","Netherlands Biodiversity Information Facility"
"Biological Records Centre - Mammal records from Britain from the Atlas of Mammals (1993), with some subsequent records",,7079,131299,0.05,7,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Insect (KNAM-IN)",,7066,552340,0.01,5,"Korea National Arboretum (Korea Forest Service)","KR","KBIF IPT","Korean Biodiversity Information Facility"
"AWI-Herbarium Marine Macroalgae",,7055,7146,0.99,363,"Biologische Anstalt Helgoland in the Foundation Alfred-Wegener Institute for Polar and Marine Research","DE","BioCASe Installation Biologische Anstalt Helgoland in the Foundation Alfred-Wegener Institute for Polar and Marine Research","GBIF Germany"
"Herbarium, Botany Unit, Finnish Museum of Natural History (H)",,7035,2566579,0.00,21,"Finnish Museum of Natural History","FI","BioCASe Installation Finnish Museum of Natural History","GBIF Finland"
"Ontario Nest Records",,7024,26672,0.26,44,"Canadian Biodiversity Information Facility","CA","CBIF DiGIR Provider","Canada Biodiversity Information Facility"
"AUM Fish Collection",,7017,59572,0.12,993,"Auburn University Museum DiGIR Provider","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Fossil collection (F) of the Muséum national d'Histoire naturelle (MNHN - Paris)",,7007,25829,0.27,2842,"MNHN - Museum national d'Histoire naturelle","FR","MNHN - Collections","GBIF France"
"Ohio State University Fish Division (OSUM)",,7001,97813,0.07,274,"Museum of Biological Diversity, The Ohio State University","US","xBioD IPT in the Museum of Biological Diversity at the Ohio State University","U.S. Geological Survey"
"Australian National Wildlife Collection provider for OZCAM",,6996,121861,0.06,369,"CSIRO","AU","ALA.org.au","Atlas of Living Australia"
"RSPB - Stone-curlew Annual Surveys (RSPB/Natural England)",,6992,6992,1.00,1,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Vegetation data from protected areas in Denmark (§ 3 in the Danish Nature Protection Act)",,6984,1029523,0.01,95,"Department of Bioscience, Aarhus University","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"Merseyside BioBank - North Merseyside Birds (unverified)",,6972,38875,0.18,94,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Inventaire National du Patrimoine Naturel : Crustacés Décapodes de France",,6907,9204,0.75,277,"SPN - Service du Patrimoine naturel, Muséum national d'Histoire naturelle, Paris","FR","HTTP Installation","GBIF France"
"Snow Entomological Museum Collection",,6888,485467,0.01,47,"University of Kansas Biodiversity Institute","US","KU Biodiversity Institute IPT","U.S. Geological Survey"
"(Figure 6) Distribution of planktic foraminifera of ODP Hole 159-958A",,6885,7014,0.98,30,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Field Museum of Natural History (Zoology) Amphibian and Reptile Collection",,6876,264048,0.03,63,"Field Museum","US","Field Museum of Natural History IPT","U.S. Geological Survey"
"New Zealand Fungal and Plant Disease Collection (PDD)",,6851,56182,0.12,1112,"Landcare Research","NZ","Landcare Research IPT","GBIF New Zealand"
"Fish Specimens of Museum of Tokushima Prefectural Museum, Japan",,6801,13962,0.49,603,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"National Institute of Marine Sciences and Technologies - Trawl Surveys (AfrOBIS)",t,6777,6813,0.99,187,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Monitoring data from the federal state Hesse (Germany)",,6777,29903,0.23,80,"BioFresh","DE","BioFresh","Society for the Management of Electronic Biodiversity Data (SMEBD)"
"NCOS1959_Echinodermata (OBIS China)",t,6773,6781,1.00,252,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Distribution of planktic foraminifers of core V30-36",,6732,6743,1.00,22,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Herbario del Departamento de Biología Vegetal (Botánica) de la Universidad de La Laguna, Tenerife (TFC)",,6719,6817,0.99,375,"Dep. of Plant Biology (Botany), Fac. of Pharmacy, Univ. La Laguna","ES","TAPIR Installation","GBIF Spain"
"Countryside Council for Wales - Welsh Invertebrate Database (WID)",,6662,227155,0.03,364,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"SOMBASE PYCNOGONIDS",,6660,6660,1.00,329,"British Antarctic Survey","GB","British Antarctic Survey","National Biodiversity Network"
"DMNS Bird Collection (Arctos)",,6644,42366,0.16,273,"Denver Museum of Nature & Science","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Distribution of dead benthic foraminifera in surface sediments of the Norwegian Sea (Table 3)",,6590,6590,1.00,142,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Fish Specimens",,6578,53417,0.12,57,"Sam Noble Oklahoma Museum of Natural History","US","SNOMNH IPT","U.S. Geological Survey"
"Relative abundance of planktic foraminifera in sediment core GeoB1309-2",,6555,6602,0.99,26,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Antarctic Amphipod Crustaceans: Ant'Phipoda Database (BIANZO)",,6536,6537,1.00,792,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"SBMNH Vertebrate Zoology",,6518,38689,0.17,738,"Santa Barbara Museum of Natural History","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Monitoring data from the federal state Saxony (Germany)",,6505,19289,0.34,81,"BioFresh","DE","BioFresh","Society for the Management of Electronic Biodiversity Data (SMEBD)"
"Shellfish Specimens of Miyazaki Prefecture Museum of Nature and History",,6497,8260,0.79,600,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"The Scottish Ornithologists' Club - South East Scotland Tetrad Atlas 1988 - 1994 - non-sensitive breeding species",,6486,64213,0.10,37,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Yorkshire Wildlife Trust - Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups",,6431,47874,0.13,173,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Irish Wetland Birds Survey (I-WeBS) 1994-2001.",,6430,10909,0.59,96,"National Biodiversity Data Centre","IE","HTTP Installation","National Biodiversity Data Centre"
"(Table T6) Foraminifer distribution in ODP Hole 188-1167A sediments",,6401,6747,0.95,37,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
